x,y,u,v,rho
-15.000000,-20.000000,1.051752,0.000000,0.950795
-14.602526,-20.000000,1.052630,0.001555,0.950744
-14.210199,-20.000000,1.052996,0.002728,0.950593
-13.823164,-20.000000,1.053247,0.003664,0.950348
-13.441554,-20.000000,1.053328,0.004340,0.950158
20.459606, -20.000000,1.068798,0.004355,0.960289
